Timestamp,Temperature,Apparent Temperature,Dew Point Temperature,Relative Humidity,Wet Bulb Depression,Wind Direction,Wind Speed,Wind Gust,Wind Speed,Wind Gust,Pressure QNH,Pressure MSL,Rain since 9am
22/04/2020 12:00am,12.2,8,7.3,72,2.4,N,19,22,10,12,1015.9,1015.8,0
22/04/2020 12:30am,14.4,10.3,7.8,64,3.3,N,19,26,10,14,1015.8,1015.7,0
22/04/2020 01:00am,14,10,8.2,68,2.9,NNW,19,30,10,16,1016.1,1016,0
22/04/2020 01:30am,13.8,9.2,8.2,69,2.8,NNW,22,32,12,17,1016.2,1016.1,0
22/04/2020 02:00am,13.8,10.2,8.2,69,2.8,N,17,24,9,13,1016.4,1016.3,0
22/04/2020 02:30am,12.8,9.2,8.4,74,2.2,N,17,22,9,12,1016.5,1016.4,0
22/04/2020 03:00am,13,9.1,8.6,74,2.2,N,19,24,10,13,1016.7,1016.6,0
22/04/2020 03:30am,12.7,9.2,8.7,76,2,N,17,20,9,11,1017.1,1017,0
22/04/2020 04:00am,12.9,9.8,8.9,76,2,NNW,15,19,8,10,1017.1,1017,0
22/04/2020 04:30am,12,8.8,8.6,80,1.7,NNW,15,19,8,10,1017.3,1017.2,0
22/04/2020 05:00am,11.1,8,8.9,86,1.1,N,15,17,8,9,1017.7,1017.6,0
22/04/2020 05:30am,9.8,6.2,8.4,91,0.7,N,17,19,9,10,1017.7,1017.6,0
22/04/2020 06:00am,10.8,8,8.4,85,1.2,NW,13,17,7,9,1018.3,1018.1,0
22/04/2020 06:30am,11.8,9.1,8.8,82,1.5,NNW,13,15,7,8,1018.7,1018.5,0
22/04/2020 07:00am,9.9,6.3,8.3,90,0.8,N,17,19,9,10,1019,1018.8,0
22/04/2020 07:30am,11.3,8,8.2,81,1.5,N,15,17,8,9,1019.3,1019.2,0
22/04/2020 08:00am,12.7,9.8,8.3,74,2.2,N,13,17,7,9,1019.7,1019.6,0
22/04/2020 08:30am,13.5,11,8.3,71,2.6,NNW,11,15,6,8,1020.2,1020.1,0
22/04/2020 09:00am,14,11.3,8.9,71,2.6,WNW,13,15,7,8,1020.6,1020.5,0
22/04/2020 09:30am,15.1,12.1,9.3,68,3,W,15,20,8,11,1020.6,1020.5,0
22/04/2020 10:00am,15.5,11.8,10,70,2.9,WSW,20,28,11,15,1020.6,1020.5,0
22/04/2020 10:30am,15.3,11.8,10.2,71,2.7,SW,19,24,10,13,1020.6,1020.5,0
22/04/2020 11:00am,15.2,12.4,11.3,77,2.1,SW,17,22,9,12,1021,1020.9,0
22/04/2020 11:30am,15.7,13.4,10.6,71,2.7,SW,13,20,7,11,1021,1020.9,0
22/04/2020 12:00pm,16.1,13.2,10.9,71,2.8,WSW,17,24,9,13,1021,1020.9,0
22/04/2020 12:30pm,16.2,13.8,11.4,73,2.6,W,15,19,8,10,1020.6,1020.5,0
22/04/2020 01:00pm,16.1,13.9,10.9,71,2.8,SW,13,19,7,10,1020.4,1020.3,0
22/04/2020 01:30pm,16.8,14.5,11.7,72,2.8,SW,15,19,8,10,1020.1,1020,0
22/04/2020 02:00pm,16.2,13.8,10.1,67,3.2,SW,13,19,7,10,1019.8,1019.7,0
22/04/2020 02:30pm,17.2,15.3,10.5,64,3.6,SW,11,15,6,8,1019.6,1019.5,0
22/04/2020 03:00pm,17.6,15.9,9.9,60,4.1,W,9,9,5,5,1019.3,1019.2,0
22/04/2020 03:30pm,17.9,17.5,9.6,58,4.4,S,2,7,1,4,1019.2,1019,0
22/04/2020 04:00pm,17.4,14.9,9.6,60,4.1,SSW,13,17,7,9,1019.3,1019.2,0
22/04/2020 04:30pm,17.4,15.5,9.2,58,4.3,SW,9,13,5,7,1019.2,1019,0
22/04/2020 05:00pm,16.2,14.2,10.1,67,3.2,S,11,19,6,10,1019.2,1019,0
22/04/2020 05:30pm,15,12.9,9.8,71,2.7,SSE,11,13,6,7,1019.2,1019,0
22/04/2020 06:00pm,14,12.5,10.6,80,1.8,S,9,11,5,6,1019.2,1019,0
22/04/2020 06:30pm,14,14.1,10.2,78,2,CALM,0,0,0,0,1019.2,1019,0
22/04/2020 07:00pm,12.4,12.4,9.7,83,1.4,CALM,0,9,0,5,1019.5,1019.4,0
22/04/2020 07:30pm,12.9,13,10,82,1.5,CALM,0,0,0,0,1019.9,1019.8,0
22/04/2020 08:00pm,11.2,9.8,9.4,89,0.9,SW,7,9,4,5,1020,1019.9,0
22/04/2020 08:30pm,10.1,9.1,8.7,91,0.7,WSW,4,9,2,5,1019.8,1019.7,0
22/04/2020 09:00pm,10.3,10.1,8.9,91,0.7,CALM,0,0,0,0,1020.1,1020,0
22/04/2020 09:30pm,11.1,9.4,9.7,91,0.7,WNW,9,13,5,7,1020.5,1020.4,0
22/04/2020 10:00pm,10.3,8.4,9.1,92,0.6,NNW,9,13,5,7,1020.4,1020.3,0
22/04/2020 10:30pm,10.4,8.9,9.2,92,0.6,N,7,9,4,5,1020.7,1020.6,0
22/04/2020 11:00pm,10.4,7.7,9,91,0.7,N,13,15,7,8,1020.5,1020.4,0
22/04/2020 11:30pm,10.6,7.9,8.8,89,0.9,NNE,13,13,7,7,1020.1,1020,0
23/04/2020 12:00am,9.8,9.5,8.6,92,0.6,CALM,0,0,0,0,1019.6,1019.5,0
23/04/2020 12:30am,8.8,6.2,7.8,93,0.5,N,11,13,6,7,1019.4,1019.3,0
23/04/2020 01:00am,9.1,6.9,7.8,92,0.6,NNW,9,9,5,5,1019.2,1019,0
23/04/2020 01:30am,9.3,6.8,8.1,92,0.6,NW,11,11,6,6,1018.8,1018.6,0
23/04/2020 02:00am,8.4,6.1,7.6,95,0.4,NNW,9,11,5,6,1019.1,1018.9,0
23/04/2020 02:30am,8.3,5.1,7,91,0.6,N,13,17,7,9,1018.6,1018.4,0
23/04/2020 03:00am,8.1,5.3,6.8,91,0.6,N,11,13,6,7,1018.7,1018.5,0
23/04/2020 03:30am,8,5.5,6.7,91,0.6,N,9,13,5,7,1018.5,1018.3,0
23/04/2020 04:00am,8.6,4.6,6.7,88,0.9,N,17,20,9,11,1018.2,1018,0
23/04/2020 04:30am,9.1,4.5,6.5,84,1.2,N,20,26,11,14,1017.8,1017.7,0
23/04/2020 05:00am,9.9,5.4,6.9,81,1.4,N,20,24,11,13,1018.1,1017.9,0
23/04/2020 05:30am,10,6.2,7.7,86,1.1,N,17,22,9,12,1018.1,1017.9,0
23/04/2020 06:00am,11.2,6.1,7.5,78,1.8,N,24,30,13,16,1018.1,1017.9,0
23/04/2020 06:30am,11.4,6,7.9,79,1.7,N,26,32,14,17,1018.2,1018,0
23/04/2020 07:00am,11.7,6.7,8,78,1.8,N,24,28,13,15,1017.9,1017.8,0
23/04/2020 07:30am,12.2,7.2,8.2,76,2,N,24,28,13,15,1018.2,1018,0
23/04/2020 08:00am,12.6,6.9,8.2,74,2.2,N,28,33,15,18,1018.5,1018.3,0
23/04/2020 08:30am,13.1,6.6,8.1,71,2.5,N,32,39,17,21,1018.9,1018.7,0
23/04/2020 09:00am,14.3,8.5,7.9,65,3.2,NNE,28,33,15,18,1018.7,1018.5,0
23/04/2020 09:30am,15.1,8.5,7.7,61,3.7,NNE,32,43,17,23,1018.5,1018.3,0
23/04/2020 10:00am,15.7,9,7.2,57,4.2,NNE,32,41,17,22,1018.3,1018.1,0
23/04/2020 10:30am,16.8,10.2,7.9,55,4.5,NNE,32,41,17,22,1017.9,1017.8,0
23/04/2020 11:00am,16.6,9.9,8.2,57,4.3,NNE,33,41,18,22,1017.5,1017.4,0
23/04/2020 11:30am,17.1,10.7,8.6,57,4.4,NNE,32,41,17,22,1016.4,1016.3,0
23/04/2020 12:00pm,18,11.1,9,55,4.7,NNE,35,52,19,28,1016.1,1016,0
23/04/2020 12:30pm,17.5,11.9,8.8,56,4.5,NNE,28,39,15,21,1015.4,1015.3,0
23/04/2020 01:00pm,18.3,10.7,9.2,55,4.8,N,39,50,21,27,1014.7,1014.6,0
23/04/2020 01:30pm,18.5,9.4,8.5,52,5.2,N,46,57,25,31,1014.2,1014.1,0
23/04/2020 02:00pm,18.6,10.2,8.9,53,5.1,NNE,43,56,23,30,1014.1,1014,0
23/04/2020 02:30pm,18.3,9.7,8.2,51,5.2,N,43,56,23,30,1013.8,1013.7,0
23/04/2020 03:00pm,18.3,11.5,9.2,55,4.8,N,35,44,19,24,1013.9,1013.8,0
23/04/2020 03:30pm,18.3,11,8.9,54,4.9,N,37,48,20,26,1013.8,1013.7,0
23/04/2020 04:00pm,18.1,11.7,9.2,56,4.7,NNE,33,46,18,25,1013.6,1013.5,0
23/04/2020 04:30pm,18,11.8,9.3,56,4.6,NNE,32,46,17,25,1013.5,1013.4,0
23/04/2020 05:00pm,18.2,11.3,9,55,4.8,NNE,35,44,19,24,1013.4,1013.3,0
23/04/2020 05:30pm,18.1,12.2,9.2,56,4.7,NNE,30,41,16,22,1013.6,1013.5,0
23/04/2020 06:00pm,18.1,11.9,9.4,57,4.6,NNE,32,37,17,20,1013.6,1013.5,0
23/04/2020 06:30pm,17.9,14,9.6,58,4.4,N,20,28,11,15,1013.6,1013.5,0
23/04/2020 07:00pm,18,14.1,9.5,57,4.5,N,20,28,11,15,1014,1013.9,0
23/04/2020 07:30pm,16.6,13,10.4,67,3.3,NNE,20,26,11,14,1013.6,1013.5,0
