Timestamp,Temperature,Apparent Temperature,Dew Point Temperature,Relative Humidity,Wet Bulb Depression,Wind Direction,Wind Speed,Wind Gust,Wind Speed,Wind Gust,Pressure QNH,Pressure MSL,Rain since 9am
22/04/2020 12:00am,15.8,12.7,7.1,56,4.3,NNW,13,20,7,11,1015.5,1015.5,0
22/04/2020 12:30am,15.4,12.3,7.4,59,4,N,13,17,7,9,1015.7,1015.7,0
22/04/2020 01:00am,15.4,13.3,8.2,62,3.6,N,9,13,5,7,1015.7,1015.7,0
22/04/2020 01:30am,15.3,12.8,8.3,63,3.5,N,11,15,6,8,1016,1016,0
22/04/2020 02:00am,14.8,12.4,8.7,67,3.1,NNW,11,15,6,8,1016,1016,0
22/04/2020 02:30am,15,13.1,9.1,68,3,NNW,9,13,5,7,1016.2,1016.2,0
22/04/2020 03:00am,15,13.1,9.1,68,3,NNW,9,13,5,7,1016.4,1016.4,0
22/04/2020 03:30am,14.7,12.9,9.3,70,2.8,NNW,9,13,5,7,1016.7,1016.7,0
22/04/2020 04:00am,14.8,13,9.4,70,2.8,NNW,9,15,5,8,1016.7,1016.7,0
22/04/2020 04:30am,14.7,13.3,9.5,71,2.7,NW,7,11,4,6,1017.1,1017.1,0
22/04/2020 05:00am,14.9,13.2,9.7,71,2.7,NNW,9,13,5,7,1017.4,1017.4,0
22/04/2020 05:30am,14.6,12.8,9.6,72,2.6,NNW,9,13,5,7,1017.5,1017.5,0
22/04/2020 06:00am,13.5,12.6,9.2,75,2.2,NNW,4,6,2,3,1018,1018,0
22/04/2020 06:30am,14.4,13.1,9.8,74,2.4,NW,7,13,4,7,1018.4,1018.4,0
22/04/2020 07:00am,14.3,12.9,9.5,73,2.5,NW,7,11,4,6,1018.7,1018.7,0
22/04/2020 07:30am,13.9,12.7,9.7,76,2.2,NNW,6,9,3,5,1019,1019,0
22/04/2020 08:00am,14.8,12.6,9.4,70,2.8,NW,11,15,6,8,1019.5,1019.5,0
22/04/2020 08:30am,15,13.6,9.4,69,2.9,NW,7,17,4,9,1019.9,1019.9,0
22/04/2020 09:00am,15.2,13.8,9.6,69,2.9,WNW,7,13,4,7,1020.3,1020.3,0
22/04/2020 09:30am,16,14.4,10.1,68,3.1,W,9,15,5,8,1020.2,1020.2,0
22/04/2020 10:00am,16.8,15.3,10.4,66,3.4,WNW,9,17,5,9,1020.3,1020.3,0
22/04/2020 10:30am,17,16.1,10.8,67,3.3,W,6,9,3,5,1020.4,1020.4,0
22/04/2020 11:00am,15.7,14,11.1,74,2.5,SW,11,20,6,11,1020.7,1020.7,0
22/04/2020 11:30am,15.6,15.6,11,74,2.5,SSW,2,9,1,5,1020.9,1020.9,0
22/04/2020 12:00pm,16.1,14.6,10.6,70,2.9,SSW,9,15,5,8,1020.7,1020.7,0
22/04/2020 12:30pm,16.9,15.3,10.1,64,3.6,SSW,9,15,5,8,1020.5,1020.5,0
22/04/2020 01:00pm,16.3,14.5,10.8,70,2.9,SSW,11,19,6,10,1020.3,1020.3,0
22/04/2020 01:30pm,16.1,14.8,11.1,72,2.7,S,9,15,5,8,1020.1,1020.1,0
22/04/2020 02:00pm,16.4,15.5,11.3,72,2.7,S,7,11,4,6,1019.6,1019.6,0
22/04/2020 02:30pm,16.7,16,11.4,71,2.9,SSE,6,9,3,5,1019.5,1019.5,0
